iter,train_loss
100,0.5226082
200,0.49055848
300,0.46190876
400,0.44289035
500,0.43236297
600,0.4263369
700,0.42263204
800,0.4199188
900,0.41765592
1000,0.41569236
1100,0.41395932
1200,0.41244182
1300,0.41110536
1400,0.4099315
1500,0.40890384
1600,0.4079465
1700,0.40708625
1800,0.40624195
1900,0.40548787
2000,0.40477633
2100,0.40407178
2200,0.40336946
2300,0.4026676
2400,0.40192324
2500,0.4011495
2600,0.40035614
2700,0.39957187
2800,0.39877698
2900,0.3979523
3000,0.39715707
3100,0.39632577
3200,0.39552578
3300,0.39472523
3400,0.3939497
3500,0.39313692
3600,0.39239725
3700,0.39168042
3800,0.39115193
3900,0.39045316
4000,0.38971615
4100,0.38906777
4200,0.3884597
4300,0.38782263
4400,0.38724035
4500,0.38663962
4600,0.386089
4700,0.38549694
4800,0.38486823
4900,0.38436607
5000,0.3839211
5100,0.38336998
5200,0.38291597
5300,0.38244432
5400,0.38196382
5500,0.3815433
5600,0.38116336
5700,0.38074648
5800,0.38036022
5900,0.37992424
6000,0.37956697
6100,0.37919542
6200,0.37880167
6300,0.3784711
6400,0.37815496
6500,0.37778285
6600,0.37744245
6700,0.37711185
6800,0.37681952
6900,0.37653863
7000,0.3762801
7100,0.37596852
7200,0.3756794
7300,0.37519792
7400,0.3751796
7500,0.3748785
7600,0.37427586
