split,smoothing,clipping,point_filter,n_points,R2_NN,Pearson_NN,Spearman_NN,RMSE_NN,R2_Romero,Pearson_Romero,Spearman_Romero,RMSE_Romero,R2_improvement_NN_over_Romero
train,s1em4,raw,all,9848,2.7115556633214264e-5,-0.005207259992857497,-0.19187090654294447,1.1633598483821206e7,6.243412588295788e-6,-0.0024986821703241466,0.1137058981903865,1.1633598107380616e7,2.0872144044918476e-5
train,s1em4,raw,interior_only,9164,7.374049712468753e-5,0.008587228722043424,-0.17143247543059056,3.2338698755257456e6,0.00018520990739817175,-0.01360918467058816,0.19966265241171213,3.233870107254281e6,-0.00011146941027348421
train,s1em4,middle99,all,9750,0.09371428469139254,-0.3061278894373927,-0.19191071209171234,620.6709517438705,0.06374214751072928,-0.2524720727342517,0.11872755972241604,602.9044607866989,0.029972137180663258
train,s1em4,middle99,interior_only,9074,0.012256173831685983,-0.11070760512126519,-0.17457458120182254,128.50523912796646,0.0009917029370950425,-0.03149131526460974,0.20487896184236426,123.70759646869327,0.01126447089459094
train,s1em3,raw,all,9848,0.0004045372783635737,-0.020113112100407875,-0.2109511939912244,879764.7974802068,5.199304516757758e-5,0.0072106203039390155,0.12451729292513261,879763.4423667955,0.0003525442331959961
train,s1em3,raw,interior_only,9164,0.0029750864716210743,0.05454435325146934,-0.18800007018153533,270419.46535584034,9.362835464664538e-5,-0.00967617458744133,0.21334745000510824,270420.8437183028,0.0028814581169744288
train,s1em3,middle99,all,9750,0.07730084202093813,-0.2780302897544405,-0.20742639916832253,370.2238729192973,0.0716403426386134,-0.2676571363491237,0.13237045662661195,354.5630398746778,0.005660499382324741
train,s1em3,middle99,interior_only,9074,0.013260359150347475,-0.11515363281437314,-0.18986583709920862,54.62221978399431,0.0008404688235659215,0.028990840339078162,0.2200086534768684,47.905558620415675,0.012419890326781554
val,s1em4,raw,all,2106,0.011992100810322138,-0.10950845086258018,-0.2104886563103188,12154.429284857892,0.021071152273902945,-0.14515905853202185,0.12933590212071264,12147.775796961898,-0.009079051463580807
val,s1em4,raw,interior_only,1960,0.0012518040282413529,-0.0353808426728555,-0.18271865420083233,3330.1159193799754,0.000916017637275842,0.03026578327543898,0.2235651172739363,3329.368491256612,0.00033578639096551086
val,s1em4,middle99,all,2086,0.13516403139528718,-0.3676466121090839,-0.20521234313634196,276.4161548833182,0.08744919017006145,-0.2957180923955473,0.1357193360455412,252.2891113297652,0.047714841225225735
val,s1em4,middle99,interior_only,1942,0.0013988241271932315,-0.03740085730559169,-0.18415292142063014,63.28805510432613,0.00015381306098537272,0.012402139371308997,0.2238120836038197,59.64568811045911,0.001245011066207859
val,s1em3,raw,all,2106,0.00037553911531720065,0.019378831629311418,-0.2242837638659957,3.899095371756339e6,0.0008324209024164547,0.02885170536409338,0.13761187657384816,3.899096580049667e6,-0.000456881787099254
val,s1em3,raw,interior_only,1960,5.803695404234349e-5,0.007618198871278138,-0.19293967147002897,1.0829723068809581e6,7.220000677365343e-8,0.00026870058945535163,0.2379999052371639,1.0829724408248167e6,5.796475403556984e-5
val,s1em3,middle99,all,2086,0.19176893283925822,-0.4379142985097178,-0.23102952810792166,591.4978404054417,0.06521749759178215,-0.2553771673266468,0.13457614985962166,563.1992347809853,0.12655143524747609
val,s1em3,middle99,interior_only,1942,3.954042990573121e-6,0.0019884775559641404,-0.20058094980662464,154.75830051999074,0.0024386270889184096,0.04938245729931237,0.23716579873871338,153.526679422394,-0.0024346730459278367
test,s1em4,raw,all,2148,0.11708506688625857,-0.3421769525936231,-0.23370955399159948,930.0473121105492,0.13930550353941493,-0.3732365249267747,0.10855725818637217,909.1142030841465,-0.02222043665315636
test,s1em4,raw,interior_only,2000,0.00022171273849689284,-0.014890021440444363,-0.2027840171960043,209.43137629525378,2.9865710066351915e-9,5.464952887843766e-5,0.19877125219281305,207.92186915805988,0.0002217097519258862
test,s1em4,middle99,all,2128,0.06930800181018366,-0.2632641293647573,-0.22958889378593253,405.4340793573411,0.052311344417237164,-0.22871673401226497,0.11864189031116236,388.75856256272294,0.0169966573929465
test,s1em4,middle99,interior_only,1980,0.005087223013034636,-0.07132477138438395,-0.20748908620285997,70.61981651578446,0.0015261038655484456,-0.039065379372898015,0.2013802506666626,65.52236160343654,0.0035611191474861905
test,s1em3,raw,all,2148,0.007026587872983832,0.08382474499205966,-0.22621538986012227,144887.54931452736,0.003083153039092916,0.05552614734602893,0.11104741715922167,144892.22531921638,0.0039434348338909155
test,s1em3,raw,interior_only,2000,0.006700362208896665,-0.08185574023180454,-0.20002592300648075,40262.10052540428,0.00033427354922546497,-0.01828314932459572,0.20502256975564243,40260.29510308805,0.0063660886596712
test,s1em3,middle99,all,2128,0.05723515830745623,-0.23923870570511,-0.2241458215481219,497.81397696313763,0.09243276538420049,-0.3040275733945862,0.1175120354791983,482.9675105560299,-0.03519760707674426
test,s1em3,middle99,interior_only,1980,0.006578557979222909,-0.08110831017363701,-0.20316002003723074,62.8386374115644,0.00022667313813768046,0.015055667973812402,0.20979275710240594,57.152020981902055,0.006351884841085229
